16/04 14:14:17, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:18, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
16/04 14:14:18, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
16/04 14:14:18, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:19, SENSOR, TIME (timer): TICK
16/04 14:14:23, SENSOR, TIME (timer): TICK
16/04 14:14:24, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:26, SENSOR, ACTIVITY (): TILTING
16/04 14:14:28, SENSOR, TIME (timer): TICK
16/04 14:14:31, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:33, SENSOR, TIME (timer): TICK
16/04 14:14:35, SENSOR, ACTIVITY (): TILTING
16/04 14:14:36, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:40, SENSOR, TIME (timer): TICK
16/04 14:14:43, SENSOR, TIME (timer): TICK
16/04 14:14:45, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:50, SENSOR, TIME (timer): TICK
16/04 14:14:54, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:54, SENSOR, TIME (timer): TICK
16/04 14:14:58, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:14:58, SENSOR, TIME (timer): TICK
16/04 14:15:02, SENSOR, ACTIVITY (): STILL
16/04 14:15:03, SENSOR, TIME (timer): TICK
16/04 14:15:05, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:08, SENSOR, TIME (timer): TICK
16/04 14:15:12, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:13, SENSOR, ACTIVITY (): STILL
16/04 14:15:13, SENSOR, TIME (timer): TICK
16/04 14:15:17, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:18, SENSOR, TIME (timer): TICK
16/04 14:15:23, SENSOR, TIME (timer): TICK
16/04 14:15:24, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:27, SENSOR, ACTIVITY (): STILL
16/04 14:15:28, SENSOR, TIME (timer): TICK
16/04 14:15:32, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:33, SENSOR, TIME (timer): TICK
16/04 14:15:36, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:38, SENSOR, TIME (timer): TICK
16/04 14:15:41, SENSOR, ACTIVITY (): STILL
16/04 14:15:43, SENSOR, TIME (timer): TICK
16/04 14:15:43, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:54, SENSOR, TIME (timer): TICK
16/04 14:15:54, SENSOR, TIME (timer): TICK
16/04 14:15:55, SENSOR, ACTIVITY (): STILL
16/04 14:15:57, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:15:58, SENSOR, TIME (timer): TICK
16/04 14:16:01, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:16:09, SENSOR, TIME (timer): TICK
16/04 14:16:09, SENSOR, TIME (timer): TICK
16/04 14:16:13, SENSOR, ACTIVITY (): STILL
16/04 14:16:13, SENSOR, TIME (timer): TICK
16/04 14:16:14, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:16:25, SENSOR, TIME (timer): TICK
16/04 14:16:25, SENSOR, TIME (timer): TICK
16/04 14:16:27, SENSOR, ACTIVITY (): STILL
16/04 14:16:28, SENSOR, TIME (timer): TICK
16/04 14:16:29, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:16:33, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:16:33, SENSOR, TIME (timer): TICK
16/04 14:16:38, SENSOR, TIME (timer): TICK
16/04 14:16:40, SENSOR, WIFI (): NOTHING_FOUND
16/04 14:16:41, SENSOR, ACTIVITY (): STILL
16/04 14:16:51, SENSOR, TIME (timer): TICK
16/04 14:16:51, SENSOR, TIME (timer): TICK
16/04 14:16:53, SENSOR, TIME (timer): TICK
16/04 14:16:55, SENSOR, WIFI (): NOTHING_FOUND
