10/04 14:40:25, SENSOR, ACTIVITY (): STILL
10/04 14:40:26, SENSOR, TIME (timer): TICK
10/04 14:40:38, SENSOR, TIME (timer): TICK
10/04 14:40:38, SENSOR, TIME (timer): TICK
10/04 14:40:39, SENSOR, ACTIVITY (): STILL
10/04 14:40:40, SENSOR, TIME (timer): TICK
10/04 14:40:51, SENSOR, TIME (timer): TICK
10/04 14:40:51, SENSOR, TIME (timer): TICK
10/04 14:40:52, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:40:55, SENSOR, TIME (timer): TICK
10/04 14:40:56, SENSOR, ACTIVITY (): STILL
10/04 14:41:08, SENSOR, TIME (timer): TICK
10/04 14:41:08, SENSOR, TIME (timer): TICK
10/04 14:41:10, SENSOR, TIME (timer): TICK
10/04 14:41:11, SENSOR, ACTIVITY (): STILL
10/04 14:41:15, SENSOR, TIME (timer): TICK
10/04 14:41:18, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:41:20, SENSOR, TIME (timer): TICK

10/04 14:41:25, MODE, changing to WAITING, latestMacAddress: 

10/04 14:41:25, MODE, killing DEFAULT
10/04 14:41:25, SENSOR, ACTIVITY (): STILL
10/04 14:41:29, SENSOR, ACTIVITY (): STILL
10/04 14:41:43, SENSOR, ACTIVITY (): STILL
10/04 14:42:57, SENSOR, ACTIVITY (): STILL

10/04 14:43:57, MODE, changing to DEFAULT, latestMacAddress: 

10/04 14:43:57, MODE, killing WAITING
10/04 14:43:57, SENSOR, ACTIVITY (): TILTING
10/04 14:43:57, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
10/04 14:43:57, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
10/04 14:44:00, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:44:02, SENSOR, TIME (timer): TICK
10/04 14:44:10, SENSOR, TIME (timer): TICK
10/04 14:44:12, SENSOR, TIME (timer): TICK
10/04 14:44:19, SENSOR, TIME (timer): TICK
10/04 14:44:22, SENSOR, TIME (timer): TICK
10/04 14:44:23, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:44:24, SENSOR, ACTIVITY (): TILTING
10/04 14:44:24, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:44:35, SENSOR, TIME (timer): TICK
10/04 14:44:35, SENSOR, TIME (timer): TICK
10/04 14:44:37, SENSOR, TIME (timer): TICK
10/04 14:44:42, SENSOR, TIME (timer): TICK
10/04 14:44:47, SENSOR, TIME (timer): TICK
10/04 14:44:50, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:44:52, SENSOR, TIME (timer): TICK
10/04 14:44:57, SENSOR, TIME (timer): TICK
10/04 14:45:02, SENSOR, TIME (timer): TICK
10/04 14:45:06, SENSOR, CELL (METRO_TUNNEL): NOTHING_FOUND
10/04 14:45:06, SENSOR, CELL (TRAIN_TUNNEL): NOTHING_FOUND
10/04 14:45:07, SENSOR, TIME (timer): TICK
10/04 14:45:08, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:45:16, SENSOR, TIME (timer): TICK
10/04 14:45:17, SENSOR, TIME (timer): TICK
10/04 14:45:22, SENSOR, TIME (timer): TICK
10/04 14:45:23, SENSOR, ACTIVITY (): ON_FOOT
10/04 14:45:34, SENSOR, TIME (timer): TICK
10/04 14:45:34, SENSOR, TIME (timer): TICK
10/04 14:45:37, SENSOR, TIME (timer): TICK
10/04 14:45:38, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:45:42, SENSOR, TIME (timer): TICK
10/04 14:45:47, SENSOR, TIME (timer): TICK
10/04 14:45:54, SENSOR, TIME (timer): TICK
10/04 14:45:57, SENSOR, TIME (timer): TICK
10/04 14:46:00, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:46:02, SENSOR, TIME (timer): TICK
10/04 14:46:04, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:46:15, SENSOR, TIME (timer): TICK
10/04 14:46:15, SENSOR, TIME (timer): TICK
10/04 14:46:17, SENSOR, TIME (timer): TICK
10/04 14:46:24, SENSOR, TIME (timer): TICK
10/04 14:46:27, SENSOR, TIME (timer): TICK
10/04 14:46:29, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:46:33, SENSOR, TIME (timer): TICK
10/04 14:46:36, SENSOR, ACTIVITY (): STILL
10/04 14:46:37, SENSOR, TIME (timer): TICK
10/04 14:46:56, SENSOR, TIME (timer): TICK
10/04 14:46:56, SENSOR, TIME (timer): TICK
10/04 14:46:56, SENSOR, TIME (timer): TICK
10/04 14:46:57, SENSOR, TIME (timer): TICK
10/04 14:46:57, SENSOR, ACTIVITY (): STILL
10/04 14:47:02, SENSOR, TIME (timer): TICK
10/04 14:47:03, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:47:07, SENSOR, TIME (timer): TICK
10/04 14:47:11, SENSOR, ACTIVITY (): STILL
10/04 14:47:12, SENSOR, TIME (timer): TICK
10/04 14:47:22, SENSOR, TIME (timer): TICK
10/04 14:47:22, SENSOR, TIME (timer): TICK
10/04 14:47:25, SENSOR, ACTIVITY (): STILL
10/04 14:47:27, SENSOR, TIME (timer): TICK
10/04 14:47:27, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:47:38, SENSOR, TIME (timer): TICK
10/04 14:47:38, SENSOR, TIME (timer): TICK
10/04 14:47:40, SENSOR, ACTIVITY (): STILL
10/04 14:47:42, SENSOR, TIME (timer): TICK
10/04 14:47:58, SENSOR, TIME (timer): TICK
10/04 14:47:58, SENSOR, TIME (timer): TICK
10/04 14:47:58, SENSOR, TIME (timer): TICK
10/04 14:48:04, SENSOR, TIME (timer): TICK
10/04 14:48:06, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:48:07, SENSOR, TIME (timer): TICK
10/04 14:48:15, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:48:17, SENSOR, TIME (timer): TICK
10/04 14:48:17, SENSOR, TIME (timer): TICK
10/04 14:48:20, SENSOR, ACTIVITY (): TILTING
10/04 14:48:22, SENSOR, TIME (timer): TICK
10/04 14:48:27, SENSOR, TIME (timer): TICK
10/04 14:48:30, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:48:32, SENSOR, TIME (timer): TICK
10/04 14:48:34, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:48:37, SENSOR, TIME (timer): TICK
10/04 14:48:42, SENSOR, TIME (timer): TICK
10/04 14:48:46, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:48:47, SENSOR, TIME (timer): TICK
10/04 14:48:48, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:48:52, SENSOR, TIME (timer): TICK
10/04 14:48:52, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:48:57, SENSOR, TIME (timer): TICK
10/04 14:49:05, SENSOR, TIME (timer): TICK
10/04 14:49:07, SENSOR, TIME (timer): TICK
10/04 14:49:11, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:49:12, SENSOR, TIME (timer): TICK
10/04 14:49:15, SENSOR, ACTIVITY (): STILL
10/04 14:49:17, SENSOR, TIME (timer): TICK
10/04 14:49:22, SENSOR, TIME (timer): TICK
10/04 14:49:27, SENSOR, TIME (timer): TICK
10/04 14:49:29, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:49:29, SENSOR, ACTIVITY (): STILL
10/04 14:49:40, SENSOR, TIME (timer): TICK
10/04 14:49:40, SENSOR, TIME (timer): TICK
10/04 14:49:42, SENSOR, TIME (timer): TICK
10/04 14:49:44, SENSOR, ACTIVITY (): STILL
10/04 14:49:53, SENSOR, TIME (timer): TICK
10/04 14:49:53, SENSOR, TIME (timer): TICK
10/04 14:49:57, SENSOR, TIME (timer): TICK
10/04 14:49:57, SENSOR, ACTIVITY (): STILL
10/04 14:50:09, SENSOR, TIME (timer): TICK
10/04 14:50:09, SENSOR, TIME (timer): TICK
10/04 14:50:11, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:50:11, SENSOR, ACTIVITY (): STILL
10/04 14:50:12, SENSOR, TIME (timer): TICK
10/04 14:50:24, SENSOR, TIME (timer): TICK
10/04 14:50:24, SENSOR, TIME (timer): TICK
10/04 14:50:27, SENSOR, TIME (timer): TICK
10/04 14:50:34, SENSOR, TIME (timer): TICK
10/04 14:50:35, SENSOR, ACTIVITY (): TILTING
10/04 14:50:37, SENSOR, TIME (timer): TICK
10/04 14:50:39, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:50:42, SENSOR, TIME (timer): TICK
10/04 14:50:47, SENSOR, TIME (timer): TICK
10/04 14:50:52, SENSOR, TIME (timer): TICK
10/04 14:50:52, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:50:57, SENSOR, TIME (timer): TICK
10/04 14:50:58, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:51:02, SENSOR, TIME (timer): TICK
10/04 14:51:07, SENSOR, TIME (timer): TICK
10/04 14:51:12, SENSOR, TIME (timer): TICK
10/04 14:51:17, SENSOR, TIME (timer): TICK
10/04 14:51:17, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:51:24, SENSOR, TIME (timer): TICK
10/04 14:51:27, SENSOR, TIME (timer): TICK
10/04 14:51:28, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:51:40, SENSOR, TIME (timer): TICK
10/04 14:51:40, SENSOR, TIME (timer): TICK
10/04 14:51:42, SENSOR, TIME (timer): TICK
10/04 14:51:46, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:51:47, SENSOR, TIME (timer): TICK
10/04 14:51:52, SENSOR, TIME (timer): TICK
10/04 14:51:57, SENSOR, TIME (timer): TICK
10/04 14:51:57, SENSOR, ACTIVITY (): STILL
10/04 14:52:09, SENSOR, TIME (timer): TICK
10/04 14:52:09, SENSOR, TIME (timer): TICK
10/04 14:52:11, SENSOR, ACTIVITY (): STILL
10/04 14:52:12, SENSOR, TIME (timer): TICK
10/04 14:52:12, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:52:22, SENSOR, TIME (timer): TICK
10/04 14:52:22, SENSOR, TIME (timer): TICK
10/04 14:52:27, SENSOR, TIME (timer): TICK
10/04 14:52:34, SENSOR, TIME (timer): TICK
10/04 14:52:35, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:52:37, SENSOR, TIME (timer): TICK
10/04 14:52:38, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:52:46, SENSOR, TIME (timer): TICK
10/04 14:52:47, SENSOR, TIME (timer): TICK
10/04 14:52:53, SENSOR, TIME (timer): TICK
10/04 14:52:57, SENSOR, TIME (timer): TICK
10/04 14:53:04, SENSOR, TIME (timer): TICK
10/04 14:53:07, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:53:07, SENSOR, TIME (timer): TICK
10/04 14:53:14, SENSOR, TIME (timer): TICK
10/04 14:53:25, SENSOR, TIME (timer): TICK
10/04 14:53:25, SENSOR, TIME (timer): TICK
10/04 14:53:27, SENSOR, TIME (timer): TICK
10/04 14:53:29, SENSOR, ACTIVITY (): STILL
10/04 14:53:39, SENSOR, TIME (timer): TICK
10/04 14:53:39, SENSOR, TIME (timer): TICK
10/04 14:53:42, SENSOR, TIME (timer): TICK
10/04 14:53:43, SENSOR, ACTIVITY (): STILL
10/04 14:53:44, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:53:54, SENSOR, TIME (timer): TICK
10/04 14:53:54, SENSOR, TIME (timer): TICK
10/04 14:53:57, SENSOR, TIME (timer): TICK
10/04 14:54:04, SENSOR, TIME (timer): TICK
10/04 14:54:07, SENSOR, TIME (timer): TICK
10/04 14:54:14, SENSOR, TIME (timer): TICK
10/04 14:54:15, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:54:16, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:54:17, SENSOR, TIME (timer): TICK
10/04 14:54:29, SENSOR, TIME (timer): TICK
10/04 14:54:29, SENSOR, TIME (timer): TICK
10/04 14:54:34, SENSOR, TIME (timer): TICK
10/04 14:54:37, SENSOR, TIME (timer): TICK
10/04 14:54:45, SENSOR, TIME (timer): TICK
10/04 14:54:47, SENSOR, TIME (timer): TICK
10/04 14:54:48, SENSOR, WIFI (): NOTHING_FOUND
10/04 14:54:54, SENSOR, TIME (timer): TICK
10/04 14:54:56, SENSOR, ACTIVITY (): UNKNOWN
10/04 14:54:57, SENSOR, TIME (timer): TICK
